Id,AccountId,BillingCity,BillingContactName,BillingCountry,BillingFax,BillingLine1,BillingLine2,BillingLine3,BillingName,BillingPostalCode,BillingStateOrProvince,BillingTelephone,CampaignId,ContactId,Description,DiscountAmount,DiscountPercentage,EffectiveFromDate,EffectiveToDate,ExchangeRate,ExpiresOnDate,FinalOfferDate,FollowUpDate,FreightAmount,FreightRate,FreightTermsCode,IsActive,Name,OpportunityId,OwnerId,PaymentTermsCode,PlanFirmDate,PriceListId,QuoteNumber,RequestedDeliveryDate,RequestedShipDate,RevisionNumber,ShippingCity,ShippingContactName,ShippingCountry,ShippingFax,ShippingFreightTermsCode,ShippingLine1,ShippingLine2,ShippingLine3,ShippingMethodCode,ShippingName,ShippingPostalCode,ShippingStateOrProvince,ShippingTelephone,StatusCode,TotalAmount,TotalAmountLessFreight,TotalDiscountAmount,TotalLineItemAmount,TotalLineItemDiscountAmount,TotalTax,TypeCode,WillCall,ApprovalStatusCode,CreatedByUser,CreatedDateTime,ModifiedByUser,ModifiedDateTime,CurrencyId,PriceModifier,RebateAmount,Tax,TotalLineItemAllocatedAmount,TotalLineItemFreightAmount,TotalLineItemRebateAmount,BusinessDate,ERPNumber,PriceBasisDate,PurchaseOrderDate,PurchaseOrderNumber,SalesAreaCode,SalesDistrictCode,SalesGroupCode,SalesOfficeCode,AccountGroupCode,DueDate,MarketClassificationCode,ApprovedDateTime,SubmittedDateTime,TaxPercentage,TotalWeight,WeightUomCode,TotalLineItemBaseAmount,ReviewDate
9F43A459-CEC2-4CE9-9F09-00CC1F66A2F0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95D29ADC-309B-450A-A789-8D5B481347AB,NULL,NULL,E76499ED-16D3-420C-BC10-EFCD2332F0F7,QUO0000002013,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,26:25.8,NULL,NULL,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,26:25.6,NULL,00:00.0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,NULL
8356DB7D-B0F8-4938-A473-036F79F725AB,FCF18B79-EA87-49A0-BA08-F089390AA11F,Cincinnati,NULL,USA,NULL,55 Merchant St,Suite 100,NULL,NULL,45246,OH,513-612-2300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,Test process Floe,NULL,131CC3A1-22E7-476D-B02A-5B2456C5E35A,5,NULL,E239ED5B-1CD1-4324-8118-829F7D68FF13,QUO0000002085,NULL,NULL,0,Dayton,NULL,EMEA,NULL,NULL,Ship To Address,NULL,NULL,NULL,NULL,888172,GA,NULL,5,220,220,0,220,0,0,NULL,NULL,NULL,131cc3a1-22e7-476d-b02a-5b2456c5e35a,19:38.8,131cc3a1-22e7-476d-b02a-5b2456c5e35a,22:20.0,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,19:38.7,NULL,00:00.0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22:20.0,NULL,0,1,220,20:57.4
34098BEA-37CF-41B8-A6BE-05A3F2909C02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CreatedFromWebSite,NULL,072DE345-7408-40D1-B8D6-B1E5BCDE0FC0,NULL,NULL,E239ED5B-1CD1-4324-8118-829F7D68FF13,QUO0000001955,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,NULL,NULL,072de345-7408-40d1-b8d6-b1e5bcde0fc0,50:35.3,NULL,NULL,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,50:35.3,NULL,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,NULL
41BEA93E-BF13-405D-8A96-05DD3EA746B8,AF7164B1-D530-4662-9A0D-2799B55A94BE,San Diege,NULL,USA,NULL,777 Catalina Rd.,NULL,NULL,NULL,94007,CA,908-987-1232,NULL,8875CBD3-0AC7-41E5-87E8-C9502E4B2790,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cincom Terminal Hauler,NULL,95D29ADC-309B-450A-A789-8D5B481347AB,NULL,NULL,E76499ED-16D3-420C-BC10-EFCD2332F0F7,QUO0000002004,NULL,NULL,0,Cinti,NULL,USA,NULL,NULL,666666,66666,NULL,NULL,NULL,88462,OH,NULL,4,39164.22,39164.22,0,39164.22,10443.79,0,NULL,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,27:46.7,95d29adc-309b-450a-a789-8d5b481347ab,28:58.1,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,27:46.7,NULL,00:00.0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,1,52218.96,31:01.5
5AD370F9-7A64-481A-A2B7-06C4C1862735,1C146B1A-D03D-4D47-9FE9-DEA8A1627A22,Detroit,NULL,NULL,NULL,555 Woodward Ave,NULL,NULL,NULL,48786,MI,313-456-2825,NULL,FB284D8E-5E6C-4F18-9DF9-7058CFD885CE,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ralphs Notes Test,NULL,95D29ADC-309B-450A-A789-8D5B481347AB,NULL,NULL,E76499ED-16D3-420C-BC10-EFCD2332F0F7,QUO0000002022,NULL,NULL,1,Detroit,NULL,NULL,NULL,NULL,555 Woodward Ave,NULL,NULL,NULL,NULL,48786,MI,313-456-2825,1,43271.04,43271.04,0,43271.04,0,0,NULL,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,26:05.1,95d29adc-309b-450a-a789-8d5b481347ab,51:28.8,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,07:06.2,NULL,00:00.0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,1,45545.18,NULL
7321ADEF-72C2-4A09-B863-0870E81F8734,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,test1234556,NULL,4CCEE81E-276E-4259-B52B-6925535DDE80,NULL,NULL,E239ED5B-1CD1-4324-8118-829F7D68FF13,QUO0000002059,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,122000,122,0,122,0,0,NULL,NULL,NULL,4ccee81e-276e-4259-b52b-6925535dde80,16:15.9,NULL,NULL,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,121878,0,16:15.9,NULL,00:00.0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,122,NULL
19BCE176-821B-49A3-A86F-0A7C1D10BEAA,FCF18B79-EA87-49A0-BA08-F089390AA11F,Cincinnati,NULL,USA,NULL,55 Merchant St,Suite 100,NULL,NULL,45246,OH,513-612-2300,NULL,D8E824E4-06A0-4CA6-A9BA-28C1B1CAC6C8,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,Prcie Adj,NULL,95D29ADC-309B-450A-A789-8D5B481347AB,5,NULL,E239ED5B-1CD1-4324-8118-829F7D68FF13,QUO0000002033,NULL,NULL,0,Dayton,NULL,EMEA,NULL,NULL,Ship To Address,NULL,NULL,NULL,NULL,888172,GA,NULL,8,215827.96,215827.96,0,215827.96,0,0,NULL,NULL,NULL,131cc3a1-22e7-476d-b02a-5b2456c5e35a,22:55.0,131cc3a1-22e7-476d-b02a-5b2456c5e35a,23:02.4,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,22:54.9,NULL,00:00.0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,360,1,239808.84,15:29.7
AA54E976-36C6-4142-8D54-0C667ACB85AE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,After Ralph ruined my demonstration yesterday I want to make sure his system works :),NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Verification Quote,NULL,967B6D71-2F06-4B59-8648-71F93E5D1F03,NULL,NULL,E239ED5B-1CD1-4324-8118-829F7D68FF13,QUO0000001910,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,44087.55,44087.55,0,44087.55,0,0,NULL,NULL,NULL,967b6d71-2f06-4b59-8648-71f93e5d1f03,11:05.9,967b6d71-2f06-4b59-8648-71f93e5d1f03,12:34.8,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,11:05.9,NULL,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,50099.49,NULL
A2EE4463-908B-41B6-987B-0DE7019F861E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95D29ADC-309B-450A-A789-8D5B481347AB,NULL,NULL,E76499ED-16D3-420C-BC10-EFCD2332F0F7,QUO0000002000,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,24:55.4,NULL,NULL,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,NULL,NULL,NULL,24:55.4,NULL,00:00.0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
FC05EC9F-5539-4ED8-A767-0E535494241B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CreatedFromWebSite,NULL,072DE345-7408-40D1-B8D6-B1E5BCDE0FC0,NULL,NULL,E239ED5B-1CD1-4324-8118-829F7D68FF13,QUO0000001884,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,45154.28,45154.28,0,45154.28,0,0,NULL,NULL,NULL,072de345-7408-40d1-b8d6-b1e5bcde0fc0,28:55.5,NULL,NULL,2CD8DD14-2F09-4BBB-97DB-CFF1DB457B31,NULL,NULL,NULL,0,0,0,28:55.1,NULL,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,1,51311.68,NULL
